,sentences,source,article_id
17282," Britain's third largest bank  Barclays  (L:BARC) PLC is close to naming former JPMorgan Chase (N:JPM) banker Jes Staley as its new chief executive, a person with knowledge of the situation said on Monday.",Reuters,3636
82220,De Margerie also worked to ensure that Total would be in pole position to return to Iran if Western economic sanctions there were lifted.,Reuters,14010
75539,"The NHTSA complaint about the August accident in North Carolina said the Mustang ""crashed into the rear end of another vehicle"" at about 35 miles per hour.",Reuters,13541
91109,"Justice Margot Botsford wrote that the law was aimed at protecting dealers from unfair practices of manufacturers and distributors ""with which they are associated, generally in a franchise relationship,"" rather than unaffiliated manufacturers.",Reuters,14663
47191,"The CFTC in November told CME it should focus more on identifying spoofing, after an agency review found the exchange operator's internal programs identified few cases in its Nymex and Comex markets.",Reuters,10240
5606,"""We expect board members to lead by example,"" she said in astatement to Reuters.",Reuters,1248
30388,"Crude prices have been on a roller coaster since mid2014, when global oversupply started to chip away at levels higher than $100 a barrel.",Reuters,6601
82939,Trading volume remained higher than average.,Reuters,14076
60993,"AstraZeneca, which is seeking such deals to drive growth, will also pay another $100 million after Actavis agreed to changes in ongoing collaborations between the two firms.",Reuters,12164
74323,"There is hope that this step (lower Chinese interest rates) will lift commodities demand.""",Reuters,13437
37524,"The broader PHLX housing index (HGX), including builders, building products and mortgage companies, is up 7.8 percent for 2015 but down 2.7 percent from its 2015 high hit in early April.",Reuters,8229
84208,"The S&P closed at its lowest level since late May and right at its 200day moving average, a key technical indicator it has not breached since late 2012.",Reuters,14172
57876,"FINMA had first investigated HSBC as long as four years ago, when it criticized the bank's internal controls, and it said on Thursday that two previously unpublicised investigations had found that HSBC violated money laundering guidelines.",Reuters,11843
9562,"The announcement came amid mounting pressure on Taco Bell to remove artificial ingredients, to source products from more humanely raised animals and to match ChickfilA, McDonald's Corp (N:MCD), Subway and other rivals' commitments to sourcing meat raised with fewer antibiotics.",Reuters,2094
63176,"The potential rise in production is attracting oil companies, who are keen on joint ventures as exploration costs in offshore fields are much higher.",Reuters,12381
18409,He declined to comment on any strategic changes during a conference call with analysts and investors on Wednesday.,Reuters,3823
35623,"ING's existing Turkish bank has about $16 billion of assets, slightly larger than HSBC's, which has $15 billion in assets and about 300 branches.",Reuters,7754
82535, (Reporting by Ludwig Burger; Editing by Georgina Prodhan),Reuters,14044
58883,"Ramp workers will be outsourced at another six airports, while customer service employees there will retain their jobs, also pending a vote.",Reuters,11951
1372,"AT&T Inc (N:T) has been exploring a sale of its data center assets since last year, while CenturyLink announced in November 2015 that it was exploring strategic alternatives for its data centers.",Reuters,276
21254,"""There will be further personnel consequences in the next days and we are calling for those consequences,"" Volkswagen board member Olaf Lies told the Bavarian broadcasting network.",Reuters,4359
61200,"Toyota invited other automakers in early December to join ""a coordinated industrywide joint initiative to independently test"" Takata air bag inflators involved in the recalls.",Reuters,12184
51733,"Galvão Engenharia was also one of 23 companies blacklisted by Petrobras in December, with the oil company cutting off payments and banning the firms from bidding on future contracts.",Reuters,11029
43229, Duke Energy  (N:DUK) weighed most on that sector and AES Corp (N:AES) fell 2.5 percent drop after it priced a secondary share offering.,Reuters,9510
76059,"""Ford sells about 6,000 vehicles a month in South Africa, making it the thirdlargest supplier behind Toyota and Volkswagen.",Reuters,13579
81711,Buffett's ability to sit tight and ride out shortterm market gyrations has been one of the keys to his success as a longterm investor.,Reuters,13976
22167,VW did not indicate on Friday how it will address the issue.,Reuters,4559
27768,"The group said Lee Byungho was made head of Hyundai's main joint venture in China, while Kim Gyun was put in charge of Kia's China joint venture.",Reuters,5903
44433,"""Our new policy reflects our decision to continue to reduce our credit exposure over time to the coal mining sector globally,"" said Andrew Plepler, head of corporate social responsibility at Bank of America.",Reuters,9765
5878,"Casteel said the UAW maintains a narrow majority of support among VW Chattanooga hourly workers, but it is not pursuing a vote by all hourly workers because of concern of ""facing the same outside pressure that we faced last time.",Reuters,1303
53137,"Apart from the obsession with recruiting CEOs, they cited slow turnover due to a lack of term limits and increases in director retirement ages at many companies.",Reuters,11230
65193,"For instance, executives have been discouraging brokers from using the term ""hack,"" which gives the impression that an outsider gained access to the bank's systems.",Reuters,12601
104806,"Shares of most major U.S. carriers slid, with American Airlines Group Inc down 4.1 percent at $41.70 and United Continental Holdings Inc down 3.5 percent at $43.35.",Reuters,15784
47775,"Previously in France, the routine shareholder approvals allowing boards to issue shares were suspended in the face of a bid, under a principle known as ""board neutrality"".",Reuters,10332
95722,"""Standardized traceability of food products does not currently exist in China.",Reuters,15043
43538,"AT&T Inc (N:T), the second biggest U.S. telecom company, is also betting on video, agreeing to buy No. 1 U.S. satellite TV provider DirecTV (O:DTV), for $48.5 billion.",Reuters,9570
67000,"Despite the controversy, there has been little public debate about the donations.",Reuters,12769
32479,"Weak demand, overcapacity and competition from the belly space of passenger planes has driven down yields and reduced the need for dedicated freighters.",Reuters,7018
12573,Europe's FTSEurofirst (FTEU3) dipped 0.1 percent though MSCI's 45country All World index  remained just about in positive territory after 1 percent gains in Asia and the Nasdaq (NDX) had notched its eyecatching milestone.,Reuters,2695
2857,"(http://s.nikkei.com/1PjDrBi)McDonald's, which owns nearly half of the Japanese unit, has asked potential buyers to respond by midJanuary, and the top candidate will likely be granted the right of first refusal, Nikkei said.",Reuters,682
60411,"In the past, some pension funds and shareholder proxy advisors have criticized Murdoch's command over his media empire, and pushed to separate his chairman and chief executive roles, among other things.",Reuters,12112
98155,"""We are targeting those borrowers who have excellent credit, and a lot of liquid reserves, but who are having difficulties proving their income,"" he said.",Reuters,15225
58652,"With improved prospects, Total sees a chance to grow.",Reuters,11936
18099,"About 7.29 billion shares changed hands on U.S. exchanges on Thursday compared with an average of 7.49 billion for the previous 20 sessions, according to Thomson Reuters data.(Additional reporting Abhiram Nandakumar and Tanya Agrawal in Bengaluru; Editing by Nick Zieminski and James Dalgleish)",Reuters,3763
98527,"""Poland may deserve some flows but it is a neighbor of Ukraine so that's a problem.",Reuters,15250
76651,"FOR RISKSBeyond the inherent risks, though, these deals are often unfair to outside investors, said David Miller, a Houstonbased lawyer who represents investors in lawsuits against issuers and brokers of private placements.",Reuters,13633
88776,Prot is the second top official to leave since the sanctionsbusting affair came to light earlier this year.,Reuters,14483
75854,"This was largely driven by a 16 percent rise in fixed income, currencies and commodities (FICC), which benefited from greater volatility caused by uncertainty over U.S. and European monetary policies and geopolitical instability.",Reuters,13563
13067,"""Many luxury brands such as jewelers Cartier, part of  Richemont  (VX:CFR), and Bulgari are sold in Iran through multibrand shops.",Reuters,2791
17071, Office supplies retailer  Staples Inc  (O:SPLS) said on Tuesday that it would limit severance benefits payments for senior its executives.,Reuters,3576
58865,It is separate from a $100 million accord that investors reached in 2013 with ResCap entities and individuals.,Reuters,11949
94321,"""The judges have seen a rash of these cases, so it may be there is a sense that harsher punishments are needed,"" said Paul Shechtman, a defense lawyer with Zuckerman Spaeder who has been involved in insider trading cases.",Reuters,14924
54646,"About 1.8 million shares exchanged hands by 1:10 p.m. ET, well above the stock's 10day moving average of 1.3 million shares.",Reuters,11416
79808,"Government deposits at 77 Bank, the region's largest lender, have jumped fourfold to almost $17 billion in the past three years as reconstruction money flooded in, the bank said.",Reuters,13830
79145,"And executives made it,"" Lee said.",Reuters,13800
2545,Shares of the restaurant company known for its fresh ingredients and meat from antibioticfree farm animals touched a 19month low near $494 as JPMorgan (N:JPM) downgraded the stock to neutral from overweight.,Reuters,617
4821,"Even after the holding is pared back to 15 percent, France will command 28 percent of votes when the Florange law takes effect at the end of March, enough to veto strategic decisions.",Reuters,1085
106872,His early career epitomized mainstream success.,Reuters,16008
94311,"The rise is at least partly driven by the bigger profits being earned through the illegal schemes, defense lawyers said.",Reuters,14924
82694," U.S. stocks extended their rebound from this month's bruising selloff on Friday, giving the S&P 500 its best day in over a week, as worries about the U.S. earnings outlook eased, but the S&P 500 still posted its fourth straight week of declines.",Reuters,14060
10114,"one can tell that today,"" Osterloh said in a joint interview with VW brand chief executive Herbert Diess, adding there were structures within the company that are ""problematic"".""But",Reuters,2176
21999,"The debt is a legacy of Schaeffler's attempt to buy Continental in 2008, a deal that unraveled during the financial crisis although the family still owns 46 percent of the company.",Reuters,4534
42527,"Authorities in China probed Uber in Chinese megacity Chongqing last year, and Guangzhou and Chengdu earlier this month, over whether its drivers were operating illegally.",Reuters,9375
76423,"""These are shortterm market dynamics,"" Air Lease Corp Chief Executive Officer Steven UdvarHazy told Reuters, referring to oil price moves.",Reuters,13616
15239,"On Monday, during a conference call with investors, Valeant defended its pricing and declined to comment on the federal investigations, saying it was cooperating with authorities.",Reuters,3228
87940,"In an email sent to staff on Friday, Chief Executive Dave Lewis said: ""Turning our business around will require change in our culture, as well as in our processes and our brand proposition.",Reuters,14427
11122,"the last 12 months, we have doubled our sourcing from India and are committed to continue that journey,"" said Pratyush Kumar, President of Boeing India.",Reuters,2443
102728,"Sales growth in the luxury goods industry, which bounced back between 2010 and 2012 after the financial crisis, has been slowing in the past two years, hit by China's crackdown on corruption and conspicuous spending.",Reuters,15589
17855,"""Standard Chartered has also been fined more than $1 billion for breaching U.S. sanctions, including with Iran, and authorities there are still investigating some issues.",Reuters,3736
44342,"Buoyed by 6.7 billion euros of liquidity reserves cash, Hanoverbased Continental also hopes to benefit from acquisitions, especially in nonautomotive segments, after concluding the purchase of U.S. rubber company Veyance Technologies this year.",Reuters,9745
38111,"Marcato Capital Management has been calling on NCR since last year to explore strategic alternatives, and now holds a seat on its board of directors.",Reuters,8377
21318," U.S. stocks ended down slightly on Wednesday, led by losses in materials and energy shares as weak Chinese and U.S. factory data added to growth worries.",Reuters,4380
77563,"Ford now links Lincoln's success to China, where the company opened its first dealerships this week and plans to have 60 stores in 50 Chinese cities by 2016.",Reuters,13698
93695,"The A320neo is being readied for its first test flight with engines from Pratt & Whitney (N:UTX), expected in the second half of the month.",Reuters,14859
61960,"Wilson, who founded Lululemon in 1998, withdrew from daytoday management in early 2012, and stepped down as chairman in late 2013.",Reuters,12269
36930,"Chrysler 300C, as well as  Renault  SA (PA:RENA) and Ford vehicles, the Ministry of Land, Infrastructure and Transport said in a statement.",Reuters,8085
39883,"Syngenta's integrated business model of folding seeds into its pesticides business has missed expectations in core markets such as Western Europe and the United States, analysts say.",Reuters,8749
44629,"  Standard Chartered  (L:STAN) said it continued to keep its domicile under review, particularly given the likelihood Britain's bank tax will continue to rise, raising the prospect it could leave London for Asia.",Reuters,9803
43570, Airbus (PA:AIR) carried out on Tuesday its first test flight of an A400M military transporter plane since Saturday's fatal crash in Spain that led some European countries to ground the carriers.,Reuters,9589
21311,The company's stock is down 26 percent so far this year.,Reuters,4377
78167, (Editing by Nick Zieminski),Reuters,13734
40416,"Etihad said Open Skies policy does not define subsidy, but its main concern is to stop subsidies from lowering airfare artificially.",Reuters,8872
24219,"Lufthansa had tried to stop the strike, the 13th in 18 months, with a temporary injunction but on Tuesday night two courts ruled in favor of the pilots' union, Vereinigung Cockpit.",Reuters,5028
75563,"""The value of imports from Europe was up 60 percent to $4.6 billion in the first nine months of 2014, customs data showed, against exports of $4.4 billion.",Reuters,13543
72877,"The German automaker said on Monday it will expand capacity at Deutsche ACCUmotive, its batterymaking division in Saxony as it expects ""high and steadilygrowing demand"" for electriccar batteries.",Reuters,13318
57544,"Williams says his views have changed, and he now supports UAW representation on boards.",Reuters,11816
69643,"In October, AT&T Inc agreed to pay $105 million to settle similar cramming allegations in a case negotiated by the FCC and the Federal Trade Commission.",Reuters,13068
25499,"After a relatively upbeat few days for world markets, concerns about China were reignited by surveys that showed its giant manufacturing sector shrinking at its fastest pace in three years and its services sector also cooling.",Reuters,5363
80767,"The U.S. National Highway Traffic Safety Administration said in documents posted online that it is looking at delays in the availability of replacement parts in two recalls from last year, as well as ""poor communications"" by Chrysler (N:FCAU) with the safety agency.",Reuters,13911
17642,"But several former managers in the VW group  whose brands also include Audi, Porsche, SEAT and Skoda  said few executives dared approach Winterkorn.DISTANCE, FEAR,",Reuters,3697
44679,"Net income attributable to shareholders fell to $23 million, or 4 cents per share, for the third quarter ended March 31, from $48 million, or 8 cents per share, a year earlier.",Reuters,9816
59443,The S&P 500 (SPX) index had finished the regular session unchanged on Wednesday as investors were worried about making big bets while they waited for the outcome of the Greece talks.,Reuters,12014
51283,Chinese central bank governor Zhou Xiaochuan's recent warning that China needs to be vigilant for signs of deflation have also helped fuel hopes for more easing.,Reuters,10949
46031,The Conference Board's latest measure of U.S. consumer confidence on Tuesday hit its lowest level since December.,Reuters,10039
7447,"Against the yen, the euro fell 0.2 percent to 130.12 yen, a day after hitting a sevenmonth low of 129.77 (EURJPY=R).Market activity was thin due to the U.S. holiday, with the greenback trading in a tight range.",Reuters,1653
30882,Investors have been eager to see how industrial companies use their capital as many of their markets struggle for growth.,Reuters,6720
82990,"Preorders start Friday for the larger iPad Air 2, priced at $499 and up, with shipping beginning next week.",Reuters,14080
65170,"Adding to volatility, the Swiss National Bank scrapped its cap on the franc currency in a surprise move.U.S.traded Swiss stocks climbed.",Reuters,12599
69143,"""Edward Snowden did more to create a future with many clouds in many locations than any tech company has done,"" said Steve Herrod, the former chief technology officer of VMware Inc, now a venture capitalist at General Catalyst Partners.",Reuters,13010
19624,"""We will gather the issues together and notify (Fiat Chrysler) that further discussions are needed,"" Williams said in a statement.",Reuters,4048
52424,"""People are prepared for the strength of the dollar to hurt earnings, but by how much they don't know yet,"" said Polcari.",Reuters,11172
107655,Benmosche will retire from AIG in September this year.,Reuters,16083
65224,"Senior Morgan Stanley executives in New York, including Chief Executive Officer James Gorman, had been calling staff members to congratulate them on their promotions, Reuters reported earlier in the day.",Reuters,12604
41702,"Investor support for such new director nomination rules, referred to as ""proxy access,"" is growing.",Reuters,9230
15925,"Spokesman Bill Durling said the company, whose merchant teams are separate from those at the Walmart chain, had recently changed its structure so that one account head now manages the relationship across various products, with the ability to see across the work of multiple buyers.",Reuters,3390
17350,Conversations with at least four other craft brewers told the same story.,Reuters,3640
56065,Barclays also set aside an extra 200 million pounds in the fourth quarter to compensate British customers who were missold insurance products.,Reuters,11621
80332,"On Wednesday, Germany's largest lender Deutsche Bank (DE:DBKGn) announced a thirdquarter net loss, and French oil major Total (PA:TOTF) said net adjusted profit fell 2 percent.",Reuters,13869
26907,"""However, strategists at  Societe Generale  (PARIS:SOGN) warned that their basket of European stocks with strong business ties to China, which includes carmakers and luxury goods companies, might come under more selling pressure in the nearterm.",Reuters,5688
41879,"The fines announced on Wednesday follow agreements in November with many of the same banks over currency trading and bring total penalties to nearly $9 billion, the Justice Department said.",Reuters,9247
276,"Japan's Nikkei (N225) fell 1.3 percent after a market holiday on Monday, hitting a threemonth low and down over 8 percent so far this year while Chinese stocks  swung around in volatile opening trades.",Reuters,63
105485,"Concern over the exposure of Banco Espirito Santo (BES), the country's largest listed lender, to the troubled companies of its founding family has been a main driver of trading in recent days.",Reuters,15830
108350,"The Barclays complaint, which is based on internal communications provided by former employees, says that while the firm told clients it would keep predatory high frequency traders out of its dark pool, it never actually prevented any trader from participating, the source said.",Reuters,16170
8535,"Funding for the deal with Mobile Leasing Solutions (MLS), the company formed by SoftBank and other investors, would come from several lenders including international banks and leasing companies.",Reuters,1894
3116,The Securities and Exchange Commission said that two of the bank's wealth management units have agreed to admit to wrongdoing and pay $267 million to settle the charges.,Reuters,747
75949,"""But while we're waiting for (other) consumer stocks to rise, lower energy prices continue to be a headwind,"" Hogan said.",Reuters,13571
7711,"The Oklahoma fund's lawsuit accused Herbalife of ""grossly"" understating the percentage of sales going to retail customers.",Reuters,1726
33357,"""That's one significant ... legacy item that we look forward to getting behind us,"" Goldman's chief financial officer, Harvey Schwartz, said on a conference call on Thursday.",Reuters,7200
102131,"Banking revenue from small and mediumsized companies in emerging markets is set to grow at a rate of 20 percent per year and could reach over $350 billion by 2015, up from $150 billion in 2010, according to a survey by McKinsey & Company.",Reuters,15541
44746,"""Lund took office on Feb. 9, nearly a month earlier than initially planned, with a mandate to turn BG around after a string of profit warnings and delays on major projects.",Reuters,9842
1740,"Hans Vontobel joined the bank in 1943, seven years after his father set up J. Vontobel & Co.",Reuters,388
7445,That fueled talk that the central bank is preparing aggressive measures to lift inflation and economic growth in the 19member euro zone.,Reuters,1653
73793,"""The rapid growth being achieved in nonOPEC production means it faces the risk that even a large cut to supply may not be enough to support prices and could simply result in lost market share and revenue,"" they said.",Reuters,13391
11359,It did not name a successor.,Reuters,2478
62185,The allegations involving Epstein became a tabloid sensation on both sides of the Atlantic after lawyers for one of Epstein's accusers made them in a court filing just over a month ago.,Reuters,12288
101319,"Burger King last week suspended the sale of any products from the Husi factories in Shanghai that supplied its restaurants and launched an investigation, Alix Salyers, a spokeswoman for the Miamibased chain, said in an email.",Reuters,15461
